song_title,pipe_delimited_artist_list,love_song_category,top_10_debut_date_as_decimal,total_weeks_in_top_10
"Yakety Yak","The Coasters",,1958.59,1
"Splish Splash","Bobby Darin",,1958.59,3
"When","Kalin Twins",Serenade,1958.59,5
"Hard Headed Woman","Elvis Presley|The Jordanaires",It's Complicated,1958.59,2
"Patricia","Perez Prado",,1958.59,6
"Rebel-'rouser","Duane Eddy|The Rebels",,1958.59,3
"Poor Little Fool","Ricky Nelson",Heartache,1958.59,6
"Willie And The Hand Jive","The Johnny Otis Show",,1958.59,2
"My True Love","Jack Scott",Serenade,1958.59,6
"Fever","Peggy Lee",Serenade,1958.59,3
"Nel Blu Dipinto Di Blu (Volaré)","Domenico Modugno",,1958.61,10
"Just A Dream","Jimmy Clanton",Heartache,1958.61,8
"Little Star","The Elegants",Serenade,1958.63,9
"Born Too Late","Poni-Tails",Heartache,1958.65,3
"Bird Dog","The Everly Brothers",,1958.65,11
"Ginger Bread","Frankie Avalon",Serenade,1958.67,2
"Are You Really Mine","Jimmie Rodgers",It's Complicated,1958.67,1
"Western Movies","The Olympics",,1958.69,2
"Rock-in Robin","Bobby Day",,1958.69,10
"It's All In The Game","Tommy Edwards",Serenade,1958.7,12
"Tears On My Pillow","Little Anthony And The Imperials",Heartache,1958.7,8
"Susie Darlin'","Robin Luke",Serenade,1958.7,7
"Devoted To You","The Everly Brothers",Serenade,1958.72,1
"Summertime Blues","Eddie Cochran",,1958.74,2
"Near You","Roger Williams",,1958.74,3
"Tea For Two Cha Cha","The Tommy Dorsey Orchestra",,1958.76,6
"The End","Earl Grant",Heartache,1958.78,3
"Chantilly Lace","Big Bopper",Pursuit,1958.8,5
"Topsy II","Cozy Cole",,1958.8,8
"It's Only Make Believe","Conway Twitty",Heartache,1958.8,10
"Tom Dooley","The Kingston Trio",,1958.8,12
"To Know Him, Is To Love Him","The Teddy Bears",Serenade,1958.86,11
"I Got A Feeling","Ricky Nelson",Serenade,1958.86,2
"Queen Of The Hop","Bobby Darin",,1958.88,3
"Lonesome Town","Ricky Nelson",Heartache,1958.88,8
"Beep Beep","The Playmates",,1958.88,7
"One Night","Elvis Presley",Heartache,1958.9,8
"I Got Stung","Elvis Presley",Serenade,1958.9,4
"Problems","The Everly Brothers",It's Complicated,1958.92,7
"The Chipmunk Song","The Chipmunks|David Seville",,1958.95,6
"Smoke Gets In Your Eyes","The Platters",Heartache,1958.95,10
"A Lover's Question","Clyde McPhatter",It's Complicated,1958.97,7
"Whole Lotta Loving","Fats Domino",Serenade,1958.99,5
"My Happiness","Connie Francis",Serenade,1959.01,7
"Gotta Travel On","Billy Grammer",,1959.01,7
"Donna","Ritchie Valens",Serenade,1959.05,10
"Stagger Lee","Lloyd Price",,1959.05,10
"16 Candles","The Crests",Serenade,1959.05,8
"Goodbye Baby","Jack Scott",Heartache,1959.07,4
"Lonely Teardrops","Jackie Wilson",Heartache,1959.07,5
"The All American Boy","Bill Parsons",,1959.09,5
"Manhattan Spiritual","Reg Owen & His Orchestra",,1959.11,2
"Petite Fleur (Little Flower)","Chris Barber's Jazz Band",,1959.15,3
"I Cried A Tear","LaVern Baker",Heartache,1959.15,3
"Tall Paul","Annette|The Afterbeats",Serenade,1959.15,1
"Charlie Brown","The Coasters",,1959.15,8
"Peter Gunn","Ray Anthony",,1959.15,3
"Alvin's Harmonica","David Seville|The Chipmunks",,1959.17,6
"Venus","Frankie Avalon",Pursuit,1959.17,10
"I've Had It","The Bell Notes",It's Complicated,1959.19,4
"It's Just A Matter Of Time","Brook Benton",Heartache,1959.19,7
"Tragedy","Thomas Wayne|The Delons",Heartache,1959.2,6
"Never Be Anyone Else But You","Ricky Nelson",Serenade,1959.2,6
"Come Softly To Me","The Fleetwoods",Serenade,1959.22,8
"Pink Shoe Laces","Dodie Stevens",,1959.24,8
"It's Late","Ricky Nelson",It's Complicated,1959.24,3
"Guitar Boogie Shuffle","The Virtues",,1959.26,6
"I Need Your Love Tonight","Elvis Presley|The Jordanaires",Serenade,1959.28,5
"(Now and Then There's) A Fool Such As I","Elvis Presley|The Jordanaires",Heartache,1959.28,5
"Turn Me Loose","Fabian",,1959.32,4
"Sorry (I Ran All The Way Home)","The Impalas",Serenade,1959.32,7
"Tell Him No","Travis & Bob",Pursuit,1959.32,2
"The Happy Organ","Dave ""Baby"" Cortez",,1959.32,7
"Kansas City","Wilbert Harrison",,1959.36,8
"Kookie, Kookie (Lend Me Your Comb)","Edward Byrnes|Connie Stevens",,1959.36,6
"The Battle Of New Orleans","Johnny Horton",,1959.38,13
"Quiet Village","The Exotic Sounds of Martin Denny",,1959.38,7
"Dream Lover","Bobby Darin",Pursuit,1959.38,10
"A Teenager In Love","Dion|The Belmonts",Heartache,1959.38,7
"Only You","Franck Pourcel's French Fiddles",,1959.4,4
"Personality","Lloyd Price and His Orchestra",Serenade,1959.4,10
"Lonely Boy","Paul Anka",Heartache,1959.45,10
"Tallahassee Lassie","Freddy Cannon",,1959.45,6
"Lipstick On Your Collar","Connie Francis",Good Riddance,1959.47,6
"Along Came Jones","The Coasters",,1959.47,2
"Bobby Sox To Stockings","Frankie Avalon",Pursuit,1959.51,1
"Frankie","Connie Francis",Serenade,1959.51,1
"Waterloo","Stonewall Jackson",,1959.51,6
"Tiger","Fabian",,1959.51,6
"A Boy Without A Girl","Frankie Avalon",Heartache,1959.53,1
"My Heart Is An Open Book","Carl Dobkins, Jr.",Serenade,1959.53,7
"A Big Hunk O' Love","Elvis Presley|The Jordanaires",Serenade,1959.55,7
"Forty Miles Of Bad Road","Duane Eddy|The Rebels",,1959.57,3
"There Goes My Baby","The Drifters",Heartache,1959.57,6
"Lavender-Blue","Sammy Turner",Heartache,1959.59,6
"Sweeter Than You","Ricky Nelson",Serenade,1959.59,1
"What'd I Say (Part I & II)","Ray Charles",,1959.61,5
"What A Diff'rence A Day Makes","Dinah Washington",Serenade,1959.61,3
"Just A Little Too Much","Ricky Nelson",Serenade,1959.63,1
"The Three Bells","The Browns",,1959.63,10
"Sleep Walk","Santo & Johnny",,1959.64,9
"I Want To Walk You Home","Fats Domino",Pursuit,1959.64,5
"Sea Of Love","Phil Phillips|The Twilights",Serenade,1959.64,6
"I'm Gonna Get Married","Lloyd Price",Serenade,1959.66,6
"Red River Rock","Johnny And The Hurricanes",,1959.66,6
"('til) I Kissed You","The Everly Brothers",Serenade,1959.68,7
"Broken-Hearted Melody","Sarah Vaughan",Heartache,1959.68,4
"Baby Talk","Jan & Dean",Pursuit,1959.7,1
"Mack The Knife","Bobby Darin",,1959.7,16
"Put Your Head On My Shoulder","Paul Anka",Serenade,1959.72,11
"Teen Beat","Sandy Nelson",,1959.74,8
"Poison Ivy","The Coasters",,1959.76,5
"Mr. Blue","The Fleetwoods",,1959.76,11
"Just Ask Your Heart","Frankie Avalon",Serenade,1959.78,4
"Lonely Street","Andy Williams",Heartache,1959.78,6
"Primrose Lane","Jerry Wallace|The Jewels",Serenade,1959.82,5
"Deck Of Cards","Wink Martindale",,1959.82,5
"Don't You Know","Della Reese",Serenade,1959.82,8
"Heartaches By The Number","Guy Mitchell",Heartache,1959.86,10
"(Seven Little Girls) Sitting In The Back Seat","Paul Evans|The Curls",,1959.86,2
"So Many Ways","Brook Benton",Serenade,1959.87,5
"In The Mood","Ernie Fields & Orch.",,1959.89,4
"We Got Love","Bobby Rydell",Serenade,1959.89,5
"Be My Guest","Fats Domino",,1959.91,2
